Nome;Categoria;Kcal_per_100g
Birra chiara;Bevande alcoliche/Birra;42
Birra scura;Bevande alcoliche/Birra;50
Vino rosso;Bevande alcoliche/Vino;85
Vino bianco;Bevande alcoliche/Vino;80
Spumante brut;Bevande alcoliche/Vino;75
Aperol spritz;Bevande alcoliche/Aperitivi;85
Negroni;Bevande alcoliche/Aperitivi;120
Cocktail (in media);Bevande alcoliche/Aperitivi;110
Acqua;Bevande analcoliche/Acqua;0
Caffè macchiato;Bevande analcoliche/Caffè e tè;25
Latte macchiato;Bevande analcoliche/Caffè e tè;50
Orzo;Bevande analcoliche/Caffè e tè;12
Cioccolata calda;Bevande analcoliche/Bevande al cacao;110
Melograno, crudo;Frutta/Frutta fresca;73
Fico d'India, crudo;Frutta/Frutta fresca;60
Ribes, crudo;Frutta/Frutta fresca;33
Mirtillo nero, crudo;Frutta/Frutta fresca;46
Mela cotogna, cruda;Frutta/Frutta fresca;38
Nespola, cruda;Frutta/Frutta fresca;28
Giuggiola, cruda;Frutta/Frutta fresca;90
Carciofo, crudo;Verdure/Verdure fresche;53
Asparago, crudo;Verdure/Verdure fresche;25
Radicchio, crudo;Verdure/Verdure fresche;23
Indivia, cruda;Verdure/Verdure fresche;15
Scarola, cruda;Verdure/Verdure fresche;20
Cavolo nero, crudo;Verdure/Verdure fresche;35
Ravanello, crudo;Verdure/Verdure fresche;16
Prezzemolo;Verdure/Verdure fresche;36
Basilico;Verdure/Verdure fresche;44
Menta;Verdure/Verdure fresche;44
Rosmarino;Verdure/Verdure fresche;131
Sale;Diversi/Sale, spezie e aromi;0
Pepe;Diversi/Sale, spezie e aromi;255
Curcuma;Diversi/Sale, spezie e aromi;354
Zenzero, fresco;Diversi/Sale, spezie e aromi;80
Aglio, crudo;Diversi/Sale, spezie e aromi;149
Funghi champignon, crudi;Verdure/Verdure fresche;22
Funghi porcini, crudi;Verdure/Verdure fresche;27
Funghi trifolati;Verdure/Verdure cotte;50
Tartufo nero;Verdure/Verdure fresche;30
Pomodori pelati;Verdure/Verdure cotte;22
Passata di pomodoro;Verdure/Verdure cotte;24
Concentrato di pomodoro;Verdure/Verdure cotte;82
Olive verdi;Noci, semi e frutti oleosi;154
Capperi;Diversi/Sale, spezie e aromi;23
Parmigiano, grattugiato;Latte e prodotti di latte/Formaggio a pasta dura;450
Pangrattato integrale;Prodotti a base di cereali, legumi e patate/Farine e amidi;356
Uovo di quaglia, intero;Uova;170
Uovo di anatra, intero;Uova;175
Tofu;Prodotti a base di cereali, legumi e patate/Legumi;76
Seitan;Prodotti a base di cereali, legumi e patate/Legumi;140
Tempeh;Prodotti a base di cereali, legumi e patate/Legumi;200
Latte di soia;Bevande analcoliche/Latti vegetali;42
Latte di mandorla;Bevande analcoliche/Latti vegetali;24
Latte di avena;Bevande analcoliche/Latti vegetali;46
Latte di riso;Bevande analcoliche/Latti vegetali;47
Yogurt di soia;Latte e prodotti di latte/Yogurt e latte acidulato;55
Petto di pollo, cotto;Carne e frattaglie/Pollame;165
Hamburger di manzo, cotto;Carne e frattaglie/Manzo;230
Bistecca di manzo, grigliata;Carne e frattaglie/Manzo;220
Carne macinata di manzo, cruda;Carne e frattaglie/Manzo;195
Spezzatino di manzo, cotto;Carne e frattaglie/Manzo;175
Pancetta arrotolata;Prodotti carnei e insaccati/Insaccati crudi;520
Mozzarella di bufala;Latte e prodotti di latte/Formaggio fresco e quark;260
Ricotta di bufala;Latte e prodotti di latte/Formaggio fresco e quark;170
Stracchino;Latte e prodotti di latte/Formaggio fresco e quark;280
Robiola;Latte e prodotti di latte/Formaggio fresco e quark;310
Groviera;Latte e prodotti di latte/Formaggio a pasta dura;400
Emmental;Latte e prodotti di latte/Formaggio a pasta dura;382
Pane di segale;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;227
Pane integrale;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;255
Pane bianco;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;275
Grissini;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;420
Crackers;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;440
Fette biscottate;Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria;410
Biscotti per la prima colazione;Pane, fiocchi e cereali per la prima colazione/Mix di muesli e cereali per la prima colazione;400
Muesli;Pane, fiocchi e cereali per la prima colazione/Mix di muesli e cereali per la prima colazione;390
Barretta ai cereali;Pane, fiocchi e cereali per la prima colazione/Mix di muesli e cereali per la prima colazione;420
Semi di chia;Noci, semi e frutti oleosi;490
Semi di lino;Noci, semi e frutti oleosi;534
Semi di sesamo;Noci, semi e frutti oleosi;573
Semi di zucca;Noci, semi e frutti oleosi;559
Semi di girasole;Noci, semi e frutti oleosi;584
Marmellata di arance (amara);Dolciumi/Confettura e prodotti dolci da spalmare sul pane;260
Nutella;Dolciumi/Confettura e prodotti dolci da spalmare sul pane;544
Crema di nocciole spalmabile;Dolciumi/Confettura e prodotti dolci da spalmare sul pane;540
Couscous, cotto;Prodotti a base di cereali, legumi e patate/Cereali;130
Quinoa, cotta;Prodotti a base di cereali, legumi e patate/Cereali;135
Farro, cotto;Prodotti a base di cereali, legumi e patate/Cereali;120
Orzo, cotto;Prodotti a base di cereali, legumi e patate/Cereali;120
Grano saraceno, cotto;Prodotti a base di cereali, legumi e patate/Cereali;95
Bulgur, cotto;Prodotti a base di cereali, legumi e patate/Cereali;110
